eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
101.47,0.82,88.82,0.68,104,0.00014052645,0.0,2.7079198,-0.00022609967,0.37445167,0.0047800540924072266,1,256,156.59645185247064,16384
120.45,0.9,113.91,0.97,103,7.99817e-05,0.0,2.7074525,-0.00019181916,0.12691744,0.015129685401916504,2,512,314.68658704683185,32768
120.66,0.83,113.7,0.92,102,0.00026851427,0.0,2.7068558,-0.00038140002,0.10661223,0.02312558889389038,3,768,473.772502720356,49152
124.07,0.84,132.52,0.81,103,0.0008273678,0.00010172526,2.7045212,-0.00097375066,0.13389862,0.04137742519378662,4,1024,631.8997953794897,65536
118.82,0.95,122.14,0.96,104,0.0022488197,0.001566569,2.6943223,-0.0009871207,0.1538461,0.05769139528274536,5,1280,789.2305511385202,81920
114.05,0.89,111.27,0.68,103,0.0023576606,0.007059733,2.6816728,-0.0011395357,0.13017297,0.09095770120620728,6,1536,947.8207536116242,98304
118.41,0.73,138.99,1.18,106,0.0026672718,0.010477702,2.6854706,-0.0016621625,0.12241619,0.13307273387908936,7,1792,1101.9682140536606,114688
125.37,1.09,125.13,1.02,103,0.0008447021,0.0005086263,2.691351,-0.001291805,0.15681143,0.1558290719985962,8,2048,1259.8330168128014,131072
133.51,0.93,106.48,0.81,105,0.003089305,0.018127441,2.686206,-0.002350186,0.1339059,0.24395954608917236,9,2304,1415.3804433569312,147456
136.05,1.17,125.92,0.97,108,0.0023427906,0.010131836,2.6773064,-0.002445276,0.15712747,0.20595180988311768,10,2560,1567.0662901848555,163840
139.29,1.19,110.91,0.84,106,0.0033010382,0.019022623,2.6789865,-0.0036078782,0.12591249,0.3156823515892029,11,2816,1721.2279928177595,180224
117.22,0.86,131.32,1.07,104,0.0030122586,0.01981608,2.670973,-0.0037659844,0.13589457,0.3641071915626526,12,3072,1877.7825842574239,196608
122.02,0.87,105.97,0.86,104,0.0035055894,0.024780273,2.6741188,-0.004937613,0.1392526,0.3858174681663513,13,3328,2034.0878813304007,212992
129.99,0.94,119.44,0.88,106,0.0037496544,0.023539225,2.659228,-0.0046599708,0.14898938,0.35825836658477783,14,3584,2188.0288959927857,229376
128.33,1.1,107.33,0.75,105,0.0030775284,0.019856771,2.6511755,-0.0055061257,0.14389868,0.33348608016967773,15,3840,2343.7059839069843,245760
120.13,0.94,107.59,0.79,104,0.0036712782,0.02726237,2.6365955,-0.0064178556,0.14986773,0.40780526399612427,16,4096,2499.964841656387,262144
130.3,1.1,121.43,0.88,105,0.0042646257,0.03100586,2.6571815,-0.006743956,0.16262937,0.3323519229888916,17,4352,2655.360667463392,278528
149.47,1.19,112.58,0.95,104,0.0047598113,0.04296875,2.6498325,-0.009148912,0.13928889,0.4630923867225647,18,4608,2812.350422013551,294912
136.17,1.0,108.56,0.9,106,0.0046884017,0.04402669,2.653925,-0.009872476,0.13142706,0.46001964807510376,19,4864,2966.866057306528,311296
140.22,1.31,124.8,1.12,104,0.0040699695,0.04083252,2.6491106,-0.009848014,0.1472098,0.4480915665626526,20,5120,3123.5763795226812,327680
