eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.2,1.5,85.64,1.53,354,8.053594e-05,0.0,2.7079737,-0.00025692632,0.5773244,-0.00609278678894043,1,256,46.28158675506711,16384
87.75,2.23,77.09,1.29,388,0.0002186534,0.0,2.7073872,-0.00070298376,0.18051231,0.01774352788925171,2,512,88.66949554160237,32768
80.46,2.04,83.73,1.56,406,0.0022429721,0.0040283203,2.7017653,-0.0020062504,0.18306346,0.03418374061584473,3,768,128.93026054650545,49152
81.25,1.9,79.94,1.61,436,0.004685341,0.021931967,2.6785634,-0.0027865777,0.1292421,0.04716980457305908,4,1024,166.48044146597385,65536
87.02,2.25,88.33,2.26,426,0.005092475,0.032287598,2.6508348,-0.003324907,0.17802678,0.06357872486114502,5,1280,204.87975944578648,81920
88.83,2.35,84.58,2.13,424,0.004567493,0.02126058,2.6103265,-0.0016579336,0.18811066,0.051719844341278076,6,1536,243.4853211902082,98304
93.35,2.48,85.4,2.1,395,0.0057542454,0.03334554,2.5677536,-0.0023076574,0.18154638,0.087924063205719,7,1792,284.9606160968542,114688
101.47,3.11,94.66,2.63,438,0.0053476696,0.039367676,2.5293067,-0.0034548787,0.19555487,0.18513786792755127,8,2048,322.33077377825975,131072
91.45,2.83,90.17,2.74,402,0.0044892435,0.023579916,2.484494,-0.0029711972,0.20341396,0.24406790733337402,9,2304,363.0857497751713,147456
98.82,3.42,96.58,2.6,393,0.0036663425,0.028483072,2.4834383,-0.0031917791,0.19166176,0.333845317363739,10,2560,404.74844198301435,163840
99.57,3.42,92.38,3.02,411,0.003821885,0.03129069,2.4956582,-0.0030993212,0.17001837,0.410739541053772,11,2816,444.5646485649049,180224
93.93,3.09,97.19,3.11,424,0.004230494,0.02988688,2.4642794,-0.002233031,0.19089796,0.3962045907974243,12,3072,483.171956140548,196608
100.37,3.68,94.4,2.87,410,0.0044807536,0.045572918,2.4545815,-0.0042835353,0.196783,0.4736340641975403,13,3328,523.1306024119258,212992
104.49,4.11,95.18,2.75,403,0.0044137626,0.035542805,2.4129438,-0.0027958443,0.2185726,0.42804646492004395,14,3584,563.7639247737825,229376
100.34,3.79,96.84,3.43,410,0.0047795675,0.047993977,2.4126544,-0.0048748027,0.1920737,0.4776020050048828,15,3840,603.6930793188512,245760
99.04,3.53,95.14,3.48,404,0.004407206,0.035502117,2.4243412,-0.003555515,0.16698022,0.569833904504776,16,4096,644.1670347824693,262144
94.3,3.65,99.63,3.87,417,0.0042939605,0.04534912,2.4588976,-0.0046345233,0.18686366,0.5309800207614899,17,4352,683.3783589191735,278528
108.51,4.59,101.09,3.53,415,0.004071059,0.03306071,2.3905594,-0.0025691467,0.20279591,0.48929697275161743,18,4608,722.7789470516145,294912
104.84,4.55,101.74,3.37,400,0.005373372,0.05609131,2.3723555,-0.0050578583,0.2117246,0.5015527009963989,19,4864,763.6998120360076,311296
100.34,3.83,100.7,3.51,389,0.0051620207,0.053690594,2.3826828,-0.003683852,0.17390846,0.5647555887699127,20,5120,805.7459007278085,327680
105.15,4.3,97.09,3.52,425,0.003618054,0.027709961,2.3717265,-0.004369291,0.17383401,0.5446462631225586,21,5376,844.28760452196,344064
106.7,4.56,104.98,3.75,397,0.005252404,0.057230633,2.4019735,-0.005867601,0.16266513,0.5950076282024384,22,5632,885.5525672473013,360448
110.96,4.88,106.17,3.94,419,0.004847225,0.054870605,2.4073024,-0.0055281403,0.16155106,0.5585927069187164,23,5888,924.5884537100792,376832
98.47,4.02,99.39,3.55,410,0.0050495765,0.05525716,2.4000936,-0.0056886915,0.16469021,0.5020667314529419,24,6144,964.4869694560766,393216
104.38,4.29,102.63,3.76,389,0.006536962,0.08610026,2.3888197,-0.0064496943,0.1513703,0.5633095502853394,25,6400,1006.5138450562954,409600
118.19,5.06,107.49,4.04,399,0.0066642505,0.07584635,2.3500597,-0.005409524,0.15683812,0.5944856405258179,26,6656,1047.554886277765,425984
108.55,5.12,107.8,4.02,406,0.0053410544,0.056722004,2.3767226,-0.005743637,0.14869776,0.6306825578212738,27,6912,1087.8974065221846,442368
107.14,4.89,108.42,4.48,425,0.0050281268,0.053141277,2.3688865,-0.0059702317,0.16960014,0.5537759959697723,28,7168,1126.3804551251233,458752
