eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
75.01,1.67,77.47,1.31,433,0.00038898553,0.0,2.7076724,-0.0008981077,0.6267242,-0.025601506233215332,1,256,37.802880976349115,16384
77.86,1.6,83.13,1.78,548,0.00092086196,0.00069173175,2.7036078,-0.0008804792,0.1623194,0.0332636833190918,2,512,67.9389329701662,32768
81.72,2.06,84.96,1.79,542,0.0036478771,0.011067708,2.6867778,-0.0019557644,0.1658848,0.034209489822387695,3,768,98.16038385778666,49152
85.12,2.18,91.24,2.54,549,0.00624934,0.03511556,2.6493022,-0.0036105262,0.19531827,0.04152059555053711,4,1024,127.95615923777223,65536
96.13,2.6,89.02,2.31,523,0.0019964955,0.0072021484,2.6369858,-3.6147714e-05,0.18502672,0.05131638050079346,5,1280,159.28122877329588,81920
95.94,3.15,94.06,2.56,541,0.0034677403,0.01615397,2.6287818,-0.0017457642,0.19417714,0.0661473274230957,6,1536,189.53642394393682,98304
92.12,2.64,85.51,2.23,550,0.0053733797,0.04482015,2.583008,-0.0019980178,0.19958772,0.08731198310852051,7,1792,219.27494541928172,114688
96.44,2.79,97.91,2.63,565,0.0025195687,0.007486979,2.5620482,-0.0011386002,0.20321625,0.1348280906677246,8,2048,248.26414196938276,131072
100.25,3.54,96.56,2.73,533,0.0030720234,0.019104004,2.5662532,-0.0020090255,0.20757051,0.20879393815994263,9,2304,278.995470110327,147456
99.64,3.24,86.01,2.01,511,0.0030101854,0.019714355,2.5626256,-0.0019686138,0.2004088,0.23317748308181763,10,2560,311.0234203413129,163840
95.03,3.11,86.22,1.93,552,0.00502727,0.04341634,2.5518546,-0.002481667,0.2081811,0.347584068775177,11,2816,340.69500240683556,180224
95.07,3.04,95.89,2.57,551,0.002967991,0.024129232,2.5500956,-0.0031810945,0.23271267,0.29669636487960815,12,3072,370.3796017281711,196608
94.02,3.03,92.29,2.85,570,0.005373826,0.04996745,2.5192525,-0.0041454313,0.21618198,0.3933756947517395,13,3328,399.1196280941367,212992
99.93,3.44,96.08,2.9,565,0.004120619,0.03346761,2.5136364,-0.004601596,0.18945026,0.3912668228149414,14,3584,428.10074235871434,229376
94.59,3.25,92.2,3.11,547,0.0049503925,0.045532227,2.4880688,-0.0053696674,0.20108764,0.3922240734100342,15,3840,458.00899044796824,245760
96.18,3.57,91.26,2.93,549,0.0052297837,0.045125324,2.4745739,-0.0051258504,0.21258104,0.37854957580566406,16,4096,487.8084204867482,262144
103.53,3.9,99.63,2.69,544,0.005113487,0.055806477,2.4592965,-0.0061442205,0.21923868,0.44518572092056274,17,4352,517.9034390971065,278528
106.64,4.15,95.63,3.16,562,0.004466098,0.040425617,2.435195,-0.003431402,0.24588816,0.44544345140457153,18,4608,547.0061318613589,294912
102.34,3.94,98.97,3.1,529,0.005501389,0.0569458,2.444883,-0.0039127953,0.21964686,0.42372965812683105,19,4864,577.9316550046206,311296
103.08,4.11,93.95,2.98,539,0.005725033,0.054097492,2.4518883,-0.0044280016,0.19229771,0.4944445490837097,20,5120,608.2762431316078,327680
103.06,4.23,98.77,3.31,550,0.0056259106,0.06589762,2.4387357,-0.006848185,0.18755595,0.48302382230758667,21,5376,638.056566182524,344064
99.22,3.65,98.62,3.45,525,0.0060486402,0.063802086,2.392833,-0.005661653,0.23752731,0.4934769868850708,22,5632,669.2250180207193,360448
105.01,3.98,103.27,3.72,534,0.004958216,0.03951009,2.3956656,-0.0067695323,0.20664792,0.5017971992492676,23,5888,699.9005380831659,376832
94.58,3.63,100.04,3.17,537,0.006641848,0.07399496,2.3575115,-0.0061820857,0.22380869,0.5005940496921539,24,6144,730.3564643412828,393216
101.7,4.29,94.66,3.12,552,0.006403979,0.07969157,2.3755443,-0.007549701,0.2200899,0.5247481465339661,25,6400,760.0345060788095,409600
105.12,3.8,98.45,2.99,545,0.0058866725,0.06473795,2.3433058,-0.008230132,0.19811316,0.571719229221344,26,6656,790.0661305971444,425984
101.16,3.72,100.54,3.15,528,0.0063256733,0.07141113,2.3925352,-0.0041597416,0.19916546,0.5580138564109802,27,6912,821.0428811907768,442368
106.52,4.23,95.61,3.18,546,0.0060378704,0.06813558,2.3487906,-0.0067129624,0.20983274,0.5557979345321655,28,7168,851.0205300450325,458752
102.55,3.91,103.77,3.61,566,0.0055469465,0.055928547,2.356343,-0.0046694404,0.19824837,0.5620875060558319,29,7424,879.9638219214976,475136
104.7,4.34,97.96,3.38,568,0.006753644,0.087381996,2.3074043,-0.0104355095,0.1928962,0.6094558835029602,30,7680,908.7992328777909,491520
107.44,4.19,97.64,3.54,569,0.007955682,0.10170492,2.2884867,-0.008493995,0.18646653,0.6057977676391602,31,7936,937.5724128484726,507904
106.54,4.36,102.76,3.66,545,0.006215682,0.073160805,2.3168926,-0.008806308,0.19609718,0.5716783404350281,32,8192,967.5856802985072,524288
110.58,4.88,98.62,3.21,524,0.0063958615,0.07354736,2.282027,-0.0057541183,0.2298008,0.5598185062408447,33,8448,998.8357667140663,540672
111.29,5.17,101.65,3.78,553,0.008299632,0.116373695,2.2873576,-0.010998049,0.1973054,0.5608113408088684,34,8704,1028.4114400334656,557056
110.44,4.92,103.38,4.09,550,0.0065104403,0.079447426,2.2958987,-0.008789073,0.18682791,0.5733971297740936,35,8960,1058.1611281223595,573440
110.04,5.2,101.99,3.21,567,0.0065598055,0.08583578,2.2890584,-0.010865026,0.19845378,0.5715928673744202,36,9216,1087.0167975015938,589824
104.94,4.12,111.53,4.0,525,0.006827135,0.084879555,2.2963305,-0.010633255,0.17066061,0.6012376546859741,37,9472,1118.1702862381935,606208
108.69,4.75,105.2,3.69,543,0.007546175,0.0976766,2.2447581,-0.010698754,0.1888215,0.5794763565063477,38,9728,1148.334145296365,622592
112.13,5.96,108.24,4.31,534,0.009016976,0.12308756,2.2466576,-0.011836909,0.20004438,0.5722152292728424,39,9984,1178.9729193113744,638976
113.79,5.37,104.77,3.79,533,0.0076296367,0.09731039,2.1917899,-0.008835121,0.217221,0.6189571022987366,40,10240,1209.700843371451,655360
113.77,4.8,103.95,4.31,561,0.008971722,0.12375895,2.1986327,-0.014435795,0.19462924,0.5830869078636169,41,10496,1238.8546910099685,671744
111.34,5.29,105.29,3.96,547,0.00950498,0.12957764,2.2063675,-0.013739158,0.17059104,0.6159676611423492,42,10752,1268.7698748596013,688128
118.52,5.46,108.18,4.05,543,0.008664818,0.11987305,2.2102952,-0.014009729,0.18515353,0.5954937040805817,43,11008,1298.9112308435142,704512
108.66,5.14,107.14,4.12,535,0.008578029,0.11362711,2.2132146,-0.013185017,0.17815156,0.5809754729270935,44,11264,1329.5046479403973,720896
125.72,6.5,114.47,4.68,572,0.009642165,0.13665771,2.1953948,-0.0131291,0.18755604,0.6166843175888062,45,11520,1358.12764332816,737280
112.99,5.4,107.78,4.69,538,0.009734412,0.1352946,2.1872091,-0.014923253,0.20029302,0.586145281791687,46,11776,1388.563126899302,753664
118.11,5.74,113.72,5.23,564,0.008606332,0.11891683,2.217717,-0.013909738,0.19359083,0.575899600982666,47,12032,1417.6109333075583,770048
