eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
83.79,1.57,80.65,1.42,1465,0.00012240554,0.0,2.707937,-0.00030444647,0.63453776,0.02172762155532837,1,256,11.177771404385567,16384
82.71,1.66,81.05,1.67,2354,0.00017751787,0.0,2.7074635,-0.000653279,0.16055508,0.01663738489151001,2,512,19.889471773058176,32768
81.66,1.57,83.65,1.72,2390,0.0008829828,0.0,2.7046297,-0.0007938224,0.16440476,0.04223227500915527,3,768,26.744195643812418,49152
86.57,2.14,87.2,2.05,2382,0.003870273,0.014506022,2.6740997,-0.0020691636,0.1712069,0.08592426776885986,4,1024,33.62271114438772,65536
82.2,2.09,88.08,1.89,2322,0.0028618125,0.0146484375,2.6588702,-0.0014008483,0.20101036,0.05297905206680298,5,1280,40.67818092927337,81920
90.98,2.65,93.91,2.56,2319,0.0029581815,0.020365397,2.664323,-0.002443624,0.18290628,0.10487955808639526,6,1536,47.74359279870987,98304
90.65,2.62,90.28,2.45,2293,0.004740897,0.044799805,2.599933,-0.0021332025,0.23690808,0.10130029916763306,7,1792,54.88800448924303,114688
95.46,2.85,88.0,1.98,2312,0.0029775212,0.016377768,2.6018744,-0.0019723736,0.18843912,0.13179248571395874,8,2048,61.97416961938143,131072
94.75,2.69,95.6,2.55,2327,0.0051562726,0.035257977,2.5078633,-0.0017250335,0.21022485,0.12608587741851807,9,2304,69.01305986195803,147456
92.76,3.51,90.9,2.71,2289,0.0061277463,0.055399578,2.4406717,-0.0023933447,0.24698675,0.1599298119544983,10,2560,76.1715014949441,163840
100.69,3.29,89.59,2.56,2339,0.003369401,0.017537436,2.4726384,-0.0012566681,0.224227,0.14754509925842285,11,2816,83.17594420909882,180224
96.6,3.11,95.73,3.04,2244,0.003523561,0.020487467,2.4886935,-0.001702939,0.1746058,0.30433714389801025,12,3072,90.47777092456818,196608
93.29,3.08,97.73,3.09,2272,0.005519176,0.050374348,2.3838794,-0.0012773141,0.3404293,0.36165040731430054,13,3328,97.68705130368471,212992
98.1,2.95,94.66,2.71,2231,0.0051622326,0.04880778,2.3123534,-0.0016977558,0.17698026,0.4320114850997925,14,3584,105.0307595282793,229376
94.19,3.17,95.36,2.62,2291,0.0044413432,0.029561361,2.4620407,-0.0012906714,0.19798034,0.33482372760772705,15,3840,112.18044114857912,245760
96.38,3.22,98.04,2.66,2318,0.0037640107,0.026875814,2.5019155,-0.0022329052,0.1595284,0.4582343101501465,16,4096,119.24780258908868,262144
103.79,3.31,89.86,2.5,2324,0.0035271756,0.0293986,2.528023,-0.0036234364,0.13988471,0.4107537865638733,17,4352,126.29644823074341,278528
