eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.59,1.75,84.12,1.57,1234,0.00032216337,0.0,2.7076976,-0.0008756914,0.6646831,0.02321767807006836,1,256,13.272797785699368,16384
81.25,1.24,79.95,1.67,1820,0.0009357755,0.0002644857,2.7043498,-0.0014099786,0.14464398,0.07120370864868164,2,512,22.55656322091818,32768
86.42,1.77,85.36,1.91,1802,0.0038756384,0.020609537,2.6845677,-0.0028135357,0.16125077,0.0767330527305603,3,768,31.649790976196527,49152
83.4,2.1,81.14,1.96,1828,0.0024361552,0.0076497397,2.663263,-0.0010466361,0.19968688,0.05739915370941162,4,1024,40.61003492772579,65536
89.84,2.55,87.29,2.39,1781,0.005634326,0.043619793,2.6256316,-0.0035265035,0.1954334,0.08088260889053345,5,1280,49.81021338328719,81920
94.82,2.78,85.37,2.28,1822,0.0025122405,0.013448079,2.6038942,-0.0015028684,0.196187,0.12215608358383179,6,1536,58.80053201690316,98304
96.62,2.66,94.61,2.85,1796,0.003594816,0.025146484,2.586827,-0.0022017013,0.19066876,0.08602452278137207,7,1792,67.91871259361506,114688
90.95,2.29,99.75,2.8,1841,0.003296028,0.018717447,2.5924666,-0.0019901514,0.18579443,0.08375442028045654,8,2048,76.81790003180504,131072
97.37,2.87,100.95,3.15,1731,0.0044208984,0.02480062,2.5672815,-0.003074566,0.1864537,0.15164971351623535,9,2304,86.28182842209935,147456
97.01,2.93,92.67,2.4,1796,0.0035351028,0.019877115,2.5371537,-0.0019044311,0.20755462,0.13214629888534546,10,2560,95.40179552510381,163840
99.41,2.9,94.73,2.85,1743,0.0027848603,0.012410481,2.512723,-0.0010229141,0.22505142,0.22532904148101807,11,2816,104.8024134002626,180224
93.78,3.01,95.53,3.42,1719,0.0030436832,0.013753255,2.4987552,-0.001807619,0.2329138,0.2608385682106018,12,3072,114.33086889609694,196608
95.95,3.14,96.89,2.87,1804,0.0027026553,0.016743978,2.5239575,-0.0009087524,0.21729396,0.25500380992889404,13,3328,123.41180205717683,212992
95.11,3.16,102.22,3.15,1764,0.0036652933,0.024373373,2.5070868,-0.0021689595,0.18863441,0.2711317539215088,14,3584,132.6996525451541,229376
98.72,3.31,94.03,2.85,1776,0.0040032943,0.027242025,2.5073848,-0.0026722236,0.19303697,0.264781653881073,15,3840,141.9249547123909,245760
96.75,3.07,101.73,3.09,1765,0.0029811526,0.02113851,2.5232084,-0.0028027892,0.18510324,0.3496522307395935,16,4096,151.20422059297562,262144
100.28,3.28,90.96,2.65,1784,0.0039664838,0.029174805,2.4934378,-0.0028886143,0.19015704,0.3705217242240906,17,4352,160.38754899054766,278528
92.15,2.55,92.34,2.93,1754,0.004314245,0.029012045,2.5113227,-0.0026984012,0.18258917,0.3621116280555725,18,4608,169.72717997059226,294912
93.14,3.1,92.36,2.41,1787,0.002761246,0.019673666,2.5099843,-0.0031049391,0.18305369,0.333284854888916,19,4864,178.89292626827955,311296
94.04,3.32,93.45,2.5,1824,0.0037198497,0.02742513,2.4681509,-0.003326881,0.17198204,0.37741726636886597,20,5120,187.87598023191094,327680
97.85,3.61,94.57,2.75,1851,0.0036981346,0.0234375,2.4422379,-0.0027762344,0.22298817,0.3744049668312073,21,5376,196.72702888399363,344064
96.71,3.16,97.41,2.7,1811,0.0064511676,0.07141113,2.4597237,-0.0046152556,0.2009458,0.37351369857788086,22,5632,205.77200751006603,360448
102.32,3.38,94.87,2.89,1811,0.004821195,0.041137695,2.4436245,-0.0040726275,0.19658452,0.4008353352546692,23,5888,214.8159732967615,376832
105.87,3.88,97.79,2.9,1843,0.0038459522,0.032755535,2.4587111,-0.0042025414,0.19129221,0.4160536527633667,24,6144,223.70480006560683,393216
98.21,3.72,93.92,2.83,1728,0.004716652,0.043477375,2.4313285,-0.006506235,0.18562476,0.4821068048477173,25,6400,233.18462002277374,409600
101.57,3.45,98.37,3.03,1805,0.0041152807,0.0308431,2.42899,-0.004821765,0.18991996,0.4622230529785156,26,6656,242.2609901316464,425984
99.21,3.53,97.04,2.38,1810,0.004322777,0.04095459,2.4074652,-0.0055843405,0.1736198,0.4698920249938965,27,6912,251.30954851210117,442368
87.62,2.5,94.25,3.08,1786,0.005161204,0.04876709,2.4012778,-0.0055768513,0.1863207,0.4132785201072693,28,7168,260.48231584206223,458752
97.27,3.6,98.21,3.19,1813,0.0043668286,0.039164227,2.3961105,-0.004833594,0.17735402,0.39274394512176514,29,7424,269.5165614411235,475136
105.53,3.86,97.65,2.99,1772,0.005160387,0.046854656,2.4147694,-0.005459301,0.18418272,0.3746575117111206,30,7680,278.76056223362684,491520
100.33,3.39,96.06,2.94,1795,0.0040687136,0.030517578,2.4032395,-0.0036165274,0.20997852,0.4292157292366028,31,7936,287.88672656565905,507904
97.45,3.63,99.08,3.25,1767,0.0041306424,0.038391113,2.4138734,-0.0052713607,0.18212251,0.40596407651901245,32,8192,297.156104773283,524288
103.17,3.62,99.16,2.92,1816,0.0048956503,0.05198161,2.4249482,-0.0073425956,0.13342448,0.4662126898765564,33,8448,306.1778604835272,540672
100.75,3.34,99.5,2.84,1814,0.0049629807,0.054016113,2.428963,-0.0057496377,0.13878214,0.48232710361480713,34,8704,315.21124259755015,557056
99.64,3.66,97.07,3.14,1768,0.0039026223,0.03277588,2.4173229,-0.0067799743,0.16775668,0.4585903286933899,35,8960,324.4785720817745,573440
107.52,4.22,95.92,2.93,1802,0.0051185475,0.0546875,2.4309347,-0.0053651403,0.18213189,0.46707457304000854,36,9216,333.56654353812337,589824
97.2,3.87,101.98,3.42,1792,0.0050189323,0.05183919,2.432186,-0.007205747,0.15437563,0.4724617600440979,37,9472,342.70836099237204,606208
97.63,3.59,93.48,3.26,1849,0.0057498333,0.060139973,2.4154851,-0.005758991,0.17884737,0.4387670159339905,38,9728,351.56932256370783,622592
105.11,4.0,93.5,2.88,1880,0.005120155,0.048868816,2.4157264,-0.005555725,0.1601402,0.5382453799247742,39,9984,360.2840354144573,638976
103.09,4.35,100.45,3.27,1807,0.0044189696,0.04305013,2.4004893,-0.005927656,0.18933056,0.4722074270248413,40,10240,369.34838531538844,655360
101.28,4.07,99.12,3.1,1804,0.005794063,0.06813558,2.3849285,-0.0085519785,0.1780721,0.5244206786155701,41,10496,378.427297513932,671744
97.26,3.21,104.13,3.38,1858,0.0065276287,0.081970215,2.397218,-0.008543459,0.13709031,0.5853097438812256,42,10752,387.24457804858685,688128
101.31,3.79,97.65,2.89,1825,0.0062254737,0.0692749,2.3819096,-0.009785469,0.14808272,0.5991009473800659,43,11008,396.22281693667173,704512
103.09,3.79,101.31,3.38,1765,0.0055234837,0.06614176,2.360802,-0.009381766,0.1622289,0.5790530741214752,44,11264,405.5058816410601,720896
97.59,3.63,98.02,3.28,1776,0.005482809,0.06455485,2.3805187,-0.0079369815,0.18144763,0.5406694412231445,45,11520,414.72754596173763,737280
97.37,3.66,101.67,3.43,1821,0.006814008,0.08669027,2.3370388,-0.010766436,0.1533653,0.5617505609989166,46,11776,423.7215886041522,753664
103.16,4.16,98.6,2.65,1743,0.0054086465,0.058166504,2.3471816,-0.008116455,0.16846776,0.5846308767795563,47,12032,433.12095822393894,770048
106.63,4.23,97.08,2.57,1828,0.007040664,0.09397379,2.359124,-0.010046858,0.16350164,0.5521774291992188,48,12288,442.081014405936,786432
101.54,3.79,101.54,3.18,1808,0.006930424,0.09259033,2.3586605,-0.009347945,0.14789265,0.5586690306663513,49,12544,451.1393684260547,802816
110.77,4.63,110.15,4.18,1775,0.0057657505,0.0647583,2.34273,-0.006543892,0.18326497,0.46365582942962646,50,12800,460.36769488081336,819200
103.58,3.83,100.37,2.97,1769,0.0063559986,0.07745361,2.3554394,-0.009178142,0.14875808,0.5777869522571564,51,13056,469.6259045749903,835584
104.3,4.31,101.91,3.46,1802,0.006047549,0.074157715,2.332148,-0.010111268,0.16739322,0.4896954298019409,52,13312,478.71759643405676,851968
108.97,4.06,98.13,3.11,1748,0.007236397,0.09460449,2.3241959,-0.01192686,0.13332272,0.576617568731308,53,13568,488.0873922035098,868352
110.89,4.66,95.38,2.93,1788,0.007001251,0.0933431,2.287386,-0.009046865,0.15486673,0.5912044942378998,54,13824,497.2504807189107,884736
105.19,4.27,103.93,3.34,1808,0.006716587,0.0843099,2.2956963,-0.01062345,0.1530743,0.6217792928218842,55,14080,506.31261021643877,901120
107.79,4.45,99.97,3.09,1764,0.00677771,0.080851234,2.3067532,-0.0076392847,0.15080608,0.6838748455047607,56,14336,515.5990962646902,917504
106.47,3.77,99.82,3.62,1817,0.007570859,0.09977213,2.271569,-0.011705873,0.14178653,0.6577050387859344,57,14592,524.6125547885895,933888
109.14,4.04,99.91,3.26,1783,0.007621055,0.10170492,2.2757149,-0.011540085,0.14870581,0.6263379752635956,58,14848,533.7991570159793,950272
102.07,3.97,103.63,3.69,1781,0.007792056,0.101623535,2.2798264,-0.01156123,0.14431046,0.6409523189067841,59,15104,542.9962763935328,966656
101.63,4.35,98.16,3.06,1756,0.0071176295,0.095072426,2.2909315,-0.010319713,0.1645574,0.5796082615852356,60,15360,552.3247557170689,983040
